time; dfo metric; v_metric; fit_formation
0;  0.654234; 351.254; 229.802
0.064;  0.654236; 70.0126; 45.8048
0.128;  0.654226; 13.8247; 9.04446
0.192;  0.6542; 2.58398; 1.69044
0.256;  0.654158; 0.310279; 0.202971
0.32;  0.654112; 0.172409; 0.112775
0.384;  0.654071; 0.300051; 0.196254
0.448;  0.654046; 0.357961; 0.234123
0.512;  0.65405; 0.406226; 0.265692
0.576;  0.65409; 0.454328; 0.297172
0.64;  0.654174; 0.502358; 0.32863
0.704;  0.654299; 0.552573; 0.361548
0.768;  0.654463; 0.598607; 0.391766
0.832;  0.654667; 0.641876; 0.420215
0.896;  0.654897; 0.680866; 0.445897
0.96;  0.655158; 0.715668; 0.468876
1.024;  0.655441; 0.744664; 0.488084
1.088;  0.655741; 0.771215; 0.505717
1.152;  0.656004; 0.789073; 0.517635
1.216;  0.656281; 0.800901; 0.525616
1.28;  0.656556; 0.813123; 0.533861
1.344;  0.656823; 0.822683; 0.540357
1.408;  0.657106; 0.831924; 0.546663
1.472;  0.657381; 0.841662; 0.553292
1.536;  0.657662; 0.850671; 0.559454
1.6;  0.657954; 0.860173; 0.565954
1.664;  0.658247; 0.868692; 0.571814
1.728;  0.658538; 0.877389; 0.577793
1.792;  0.658826; 0.88605; 0.583752
1.856;  0.659119; 0.892422; 0.588213
1.92;  0.659418; 0.898215; 0.592299
1.984;  0.659712; 0.904734; 0.596864
2.048;  0.660002; 0.909978; 0.600588
2.112;  0.660289; 0.915505; 0.604498
2.176;  0.660576; 0.919695; 0.607528
2.24;  0.660874; 0.924159; 0.610753
2.304;  0.66117; 0.929017; 0.614238
2.368;  0.661468; 0.933726; 0.61763
2.432;  0.661758; 0.938113; 0.620803
2.496;  0.662049; 0.941108; 0.623059
2.56;  0.66234; 0.944012; 0.625257
2.624;  0.662626; 0.945858; 0.62675
2.688;  0.662921; 0.946772; 0.627635
2.752;  0.663197; 0.947189; 0.628173
2.816;  0.663473; 0.948357; 0.62921
2.88;  0.663765; 0.94746; 0.628891
2.944;  0.664037; 0.948925; 0.630121
3.008;  0.664312; 0.94835; 0.63
3.072;  0.664591; 0.948738; 0.630523
3.136;  0.664848; 0.950117; 0.631683
3.2;  0.665115; 0.949493; 0.631522
3.264;  0.665385; 0.948095; 0.630848
3.328;  0.665643; 0.948384; 0.631285
3.392;  0.665904; 0.947051; 0.630645
3.456;  0.666163; 0.946921; 0.630804
3.52;  0.666422; 0.946782; 0.630957
3.584;  0.666682; 0.946205; 0.630818
3.648;  0.666948; 0.94601; 0.630939
3.712;  0.667193; 0.945114; 0.630573
3.776;  0.667449; 0.943814; 0.629948
3.84;  0.667706; 0.943711; 0.630122
3.904;  0.667959; 0.943319; 0.630099
3.968;  0.66822; 0.943362; 0.630374
4.032;  0.668483; 0.943666; 0.630825
4.096;  0.668744; 0.943303; 0.630828
4.16;  0.668995; 0.944445; 0.631829
4.224;  0.669251; 0.944453; 0.632076
4.288;  0.669491; 0.943481; 0.631652
4.352;  0.669738; 0.943963; 0.632208
4.416;  0.66999; 0.943405; 0.632072
4.48;  0.670246; 0.943335; 0.632267
4.544;  0.670489; 0.94248; 0.631923
4.608;  0.670724; 0.941711; 0.631628
4.672;  0.670968; 0.942817; 0.6326
4.736;  0.671227; 0.942826; 0.632851
4.8;  0.671494; 0.942033; 0.63257
4.864;  0.671746; 0.942377; 0.633038
4.928;  0.671989; 0.943; 0.633686
4.992;  0.672226; 0.943558; 0.634284
5.056;  0.67247; 0.942495; 0.6338
5.12;  0.672721; 0.941695; 0.633498
5.184;  0.672962; 0.941055; 0.633295
5.248;  0.673195; 0.942698; 0.63462
5.312;  0.673439; 0.941639; 0.634136
5.376;  0.673601; 0.884361; 0.595707
5.44;  0.673876; 0.763264; 0.514346
5.504;  0.674123; 0.738793; 0.498038
5.568;  0.67436; 0.733975; 0.494963
5.632;  0.674603; 0.732088; 0.493869
5.696;  0.674814; 0.73115; 0.49339
5.76;  0.674988; 0.732084; 0.494148
5.824;  0.675147; 0.73266; 0.494653
5.888;  0.675282; 0.732786; 0.494837
5.952;  0.675391; 0.73315; 0.495163
6.016;  0.675475; 0.733109; 0.495197
6.08;  0.675544; 0.732555; 0.494873
6.144;  0.675579; 0.734594; 0.496277
6.208;  0.675596; 0.738768; 0.499108
6.272;  0.675872; 0.705043; 0.476518
6.336;  0.675118; 0.585416; 0.395225
6.4;  0.674745; 0.646704; 0.436361
6.464;  0.674045; 0.593703; 0.400182
6.528;  0.674368; 0.664745; 0.448283
6.592;  0.67445; 0.586606; 0.395637
6.656;  0.674525; 0.615946; 0.415471
6.72;  0.674914; 0.673485; 0.454544
6.784;  0.674825; 0.584942; 0.394733
6.848;  0.675716; 0.613855; 0.414792
6.912;  0.676596; 0.598857; 0.405184
6.976;  0.676484; 0.616539; 0.417079
7.04;  0.67658; 0.641053; 0.433724
7.104;  0.675285; 0.657991; 0.444332
7.168;  0.673918; 0.622933; 0.419806
7.232;  0.672751; 0.623777; 0.419647
7.296;  0.671758; 0.853804; 0.573549
7.36;  0.671354; 0.905047; 0.607607
7.424;  0.671408; 0.901805; 0.605479
7.488;  0.668765; 0.885363; 0.5921
7.552;  0.665645; 0.879222; 0.58525
7.616;  0.662979; 0.865129; 0.573562
7.68;  0.661235; 0.845275; 0.558926
7.744;  0.660047; 0.784412; 0.517749
7.808;  0.658307; 0.7557; 0.497483
7.872;  0.658243; 0.813202; 0.535285
7.936;  0.658277; 0.822058; 0.541142
8;  0.658339; 0.82432; 0.542682
8.064;  0.658411; 0.823691; 0.542328
8.128;  0.658467; 0.825103; 0.543303
8.192;  0.658515; 0.824133; 0.542703
8.256;  0.657617; 0.797695; 0.524577
8.32;  0.657278; 0.803225; 0.527943
8.384;  0.656674; 0.801483; 0.526313
8.448;  0.656083; 0.797101; 0.522964
8.512;  0.655573; 0.793056; 0.519906
8.576;  0.655068; 0.791692; 0.518612
8.64;  0.65458; 0.79094; 0.517733
8.704;  0.654085; 0.791917; 0.517981
8.768;  0.65358; 0.792865; 0.518201
8.832;  0.653068; 0.793322; 0.518093
8.896;  0.652583; 0.793548; 0.517856
8.96;  0.652074; 0.793804; 0.517619
9.024;  0.651572; 0.794898; 0.517934
9.088;  0.651066; 0.795095; 0.517659
9.152;  0.650543; 0.796713; 0.518295
9.216;  0.650012; 0.796799; 0.517929
9.28;  0.649474; 0.79749; 0.517949
9.344;  0.648938; 0.798359; 0.518086
9.408;  0.648355; 0.799498; 0.518359
9.472;  0.647739; 0.800859; 0.518748
9.536;  0.64713; 0.801624; 0.518754
9.6;  0.646542; 0.801224; 0.518025
9.664;  0.645964; 0.802345; 0.518286
9.728;  0.645397; 0.803226; 0.5184
9.792;  0.644827; 0.803295; 0.517987
9.856;  0.644252; 0.803588; 0.517713
9.92;  0.643699; 0.804199; 0.517662
9.984;  0.643135; 0.804465; 0.51738
10.048;  0.642573; 0.80386; 0.516539
10.112;  0.642023; 0.80415; 0.516283
10.176;  0.641478; 0.803601; 0.515492
10.24;  0.640926; 0.803866; 0.515219
10.304;  0.640368; 0.803895; 0.514789
10.368;  0.639802; 0.804987; 0.515032
10.432;  0.639252; 0.804806; 0.514474
10.496;  0.638697; 0.804624; 0.513911
10.56;  0.638136; 0.805106; 0.513767
10.624;  0.637581; 0.80458; 0.512985
10.688;  0.637031; 0.804836; 0.512706
10.752;  0.636469; 0.804975; 0.512342
10.816;  0.63592; 0.80433; 0.511489
10.88;  0.635369; 0.803888; 0.510765
10.944;  0.634815; 0.80443; 0.510664
11.008;  0.634275; 0.803058; 0.50936
11.072;  0.633719; 0.80432; 0.509713
11.136;  0.633166; 0.804432; 0.509339
11.2;  0.632601; 0.804024; 0.508627
11.264;  0.632034; 0.803211; 0.507657
11.328;  0.631485; 0.80263; 0.506849
11.392;  0.630923; 0.802684; 0.506432
11.456;  0.63036; 0.802448; 0.505831
11.52;  0.629801; 0.801403; 0.504724
11.584;  0.629234; 0.801542; 0.504357
11.648;  0.628671; 0.801913; 0.50414
11.712;  0.62811; 0.801909; 0.503687
11.776;  0.627534; 0.80144; 0.502931
11.84;  0.626981; 0.801408; 0.502467
11.904;  0.626423; 0.801436; 0.502039
11.968;  0.625873; 0.801432; 0.501594
12.032;  0.625312; 0.801746; 0.501341
12.096;  0.62476; 0.801192; 0.500553
12.16;  0.624208; 0.800924; 0.499944
12.224;  0.623653; 0.801233; 0.499691
12.288;  0.623102; 0.801315; 0.499301
12.352;  0.622548; 0.801341; 0.498873
12.416;  0.621986; 0.801805; 0.498711
12.48;  0.621427; 0.80137; 0.497993
12.544;  0.620867; 0.801166; 0.497417
12.608;  0.62031; 0.800039; 0.496272
12.672;  0.619755; 0.800243; 0.495954
12.736;  0.619197; 0.799662; 0.495148
12.8;  0.618644; 0.799858; 0.494827
12.864;  0.61809; 0.79991; 0.494416
12.928;  0.617534; 0.799414; 0.493665
12.992;  0.616977; 0.799818; 0.493469
13.056;  0.616417; 0.798718; 0.492343
13.12;  0.615861; 0.798313; 0.491649
13.184;  0.615307; 0.798138; 0.4911
13.248;  0.614751; 0.798306; 0.490759
13.312;  0.614198; 0.798327; 0.490331
13.376;  0.613636; 0.79803; 0.4897
13.44;  0.613082; 0.797676; 0.48904
13.504;  0.612518; 0.79761; 0.488551
13.568;  0.611965; 0.797115; 0.487806
13.632;  0.611427; 0.79734; 0.487515
13.696;  0.610874; 0.797454; 0.487145
13.76;  0.610332; 0.79653; 0.486148
13.824;  0.609772; 0.796789; 0.48586
13.888;  0.609216; 0.796184; 0.485048
13.952;  0.608665; 0.795458; 0.484168
14.016;  0.6081; 0.79603; 0.484066
14.08;  0.607552; 0.795353; 0.483218
14.144;  0.607926; 0.656779; 0.399273
14.208;  0.608394; 0.594741; 0.361837
14.272;  0.608812; 0.569317; 0.346607
14.336;  0.609193; 0.549562; 0.334789
14.4;  0.609534; 0.532818; 0.32477
14.464;  0.609836; 0.515898; 0.314613
14.528;  0.610109; 0.50034; 0.305262
14.592;  0.610341; 0.484146; 0.295494
14.656;  0.610555; 0.468298; 0.285922
14.72;  0.610736; 0.454938; 0.277847
14.784;  0.610895; 0.44109; 0.26946
14.848;  0.610969; 0.400097; 0.244447
14.912;  0.610979; 0.323858; 0.19787
14.976;  0.610974; 0.299943; 0.183258
15.04;  0.61104; 0.26298; 0.160691
15.104;  0.61113; 0.266839; 0.163073
15.168;  0.611178; 0.271515; 0.165944
15.232;  0.611099; 0.259403; 0.158521
15.296;  0.611158; 0.21856; 0.133574
15.36;  0.6112; 0.221578; 0.135428
15.424;  0.611203; 0.233265; 0.142572
15.488;  0.611244; 0.24379; 0.149015
15.552;  0.611147; 0.216685; 0.132426
15.616;  0.611062; 0.207273; 0.126657
15.68;  0.610937; 0.248138; 0.151596
15.744;  0.610635; 0.311207; 0.190034
15.808;  0.610392; 0.311785; 0.190311
15.872;  0.610177; 0.303864; 0.185411
15.936;  0.609981; 0.295393; 0.180184
16;  0.60979; 0.287795; 0.175494
16.064;  0.609616; 0.278143; 0.169561
16.128;  0.609464; 0.270791; 0.165038
16.192;  0.609326; 0.261301; 0.159217
16.256;  0.609207; 0.252295; 0.1537
16.32;  0.609117; 0.215134; 0.131042
16.384;  0.609061; 0.152823; 0.0930788
16.448;  0.609019; 0.136627; 0.0832082
16.512;  0.608968; 0.132642; 0.0807747
16.576;  0.608928; 0.130401; 0.079405
16.64;  0.608881; 0.129246; 0.0786952
16.704;  0.608834; 0.127735; 0.0777694
16.768;  0.608797; 0.126081; 0.0767576
16.832;  0.60875; 0.127136; 0.0773939
16.896;  0.608705; 0.126423; 0.0769544
16.96;  0.608664; 0.125486; 0.0763786
17.024;  0.608623; 0.125484; 0.0763725
17.088;  0.60859; 0.126274; 0.076849
17.152;  0.608549; 0.12847; 0.07818
17.216;  0.608511; 0.128068; 0.077931
17.28;  0.60848; 0.130492; 0.0794018
17.344;  0.608406; 0.122971; 0.0748164
17.408;  0.608294; 0.133131; 0.0809831
17.472;  0.608204; 0.136509; 0.0830251
17.536;  0.608167; 0.129619; 0.0788298
17.6;  0.608099; 0.146638; 0.0891707
17.664;  0.608062; 0.150545; 0.0915405
17.728;  0.608035; 0.153571; 0.0933764
17.792;  0.607851; 0.178917; 0.108755
17.856;  0.607602; 0.192343; 0.116868
17.92;  0.607383; 0.191564; 0.116353
17.984;  0.607182; 0.185928; 0.112892
18.048;  0.607002; 0.180094; 0.109317
18.112;  0.60685; 0.173817; 0.105481
18.176;  0.606709; 0.170249; 0.103292
18.24;  0.606579; 0.167018; 0.101309
18.304;  0.606465; 0.161983; 0.0982372
18.368;  0.606359; 0.157722; 0.095636
18.432;  0.606251; 0.157732; 0.0956251
18.496;  0.606131; 0.156381; 0.0947872
18.56;  0.606005; 0.153509; 0.0930271
18.624;  0.605884; 0.153466; 0.0929824
18.688;  0.605764; 0.151858; 0.0919903
18.752;  0.605641; 0.150515; 0.0911581
18.816;  0.605523; 0.150663; 0.0912299
18.88;  0.605407; 0.138552; 0.0838805
18.944;  0.605292; 0.114288; 0.0691773
19.008;  0.605185; 0.108899; 0.0659041
19.072;  0.605077; 0.107651; 0.0651368
19.136;  0.604959; 0.106931; 0.0646889
19.2;  0.60484; 0.105441; 0.0637747
19.264;  0.60473; 0.104477; 0.0631806
19.328;  0.604625; 0.106757; 0.0645477
19.392;  0.604529; 0.109956; 0.0664718
19.456;  0.60444; 0.113724; 0.0687395
19.52;  0.604352; 0.117928; 0.07127
19.584;  0.604279; 0.122003; 0.073724
19.648;  0.604219; 0.126736; 0.0765764
19.712;  0.604166; 0.133265; 0.0805143
19.776;  0.604125; 0.138019; 0.0833808
